ANO_ELEICAO,NR_TURNO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS,ST_VOTO_EM_TRANSITO,DS_SIT_TOT_TURNO,TOTAL_VOTOS,PROPORCAO,PORCENTAGEM
2018,1,RIO DE JANEIRO,22,6,Deputado Federal,190000624672,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,APTO,PRP,Partido Republicano Progressista,21,N,ELEITO POR QP,279,0.07526881720430108,7.526881720430108
2018,1,RIO DE JANEIRO,16,6,Deputado Federal,190000624672,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,APTO,PRP,Partido Republicano Progressista,16,N,ELEITO POR QP,279,0.05734767025089606,5.734767025089606
2018,1,RIO DE JANEIRO,4,6,Deputado Federal,190000624672,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,APTO,PRP,Partido Republicano Progressista,14,N,ELEITO POR QP,279,0.05017921146953405,5.017921146953405
2018,1,RIO DE JANEIRO,179,6,Deputado Federal,190000624672,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,APTO,PRP,Partido Republicano Progressista,13,N,ELEITO POR QP,279,0.04659498207885305,4.659498207885305
2018,1,RIO DE JANEIRO,119,6,Deputado Federal,190000624672,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,WLADIMIR GAROTINHO,APTO,PRP,Partido Republicano Progressista,12,N,ELEITO POR QP,279,0.043010752688172046,4.301075268817205
2018,2,RIO DE JANEIRO,238,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,45258,N,ELEITO,1520888,0.02975761528791075,2.975761528791075
2018,2,RIO DE JANEIRO,245,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,43949,N,ELEITO,1520888,0.02889693389651309,2.889693389651309
2018,2,RIO DE JANEIRO,188,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,43690,N,ELEITO,1520888,0.028726638647947778,2.8726638647947778
2018,2,RIO DE JANEIRO,233,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,42205,N,ELEITO,1520888,0.027750235388799175,2.7750235388799176
2018,2,RIO DE JANEIRO,22,3,Governador,190000612301,WILSON JOSÉ WITZEL,WILSON WITZEL,APTO,PSC,Partido Social Cristão,40744,N,ELEITO,1520888,0.026789612384343884,2.6789612384343884
2018,1,RIO DE JANEIRO,16,7,Deputado Estadual,190000629002,WELBERTH PORTO DE REZENDE,WELBERTH REZENDE,APTO,PPS,Partido Popular Socialista,41,N,ELEITO POR QP,762,0.05380577427821522,5.380577427821522
2018,1,RIO DE JANEIRO,7,7,Deputado Estadual,190000629002,WELBERTH PORTO DE REZENDE,WELBERTH REZENDE,APTO,PPS,Partido Popular Socialista,32,N,ELEITO POR QP,762,0.04199475065616798,4.199475065616798
2018,1,RIO DE JANEIRO,233,7,Deputado Estadual,190000629002,WELBERTH PORTO DE REZENDE,WELBERTH REZENDE,APTO,PPS,Partido Popular Socialista,29,N,ELEITO POR QP,762,0.03805774278215223,3.805774278215223
2018,1,RIO DE JANEIRO,122,7,Deputado Estadual,190000629002,WELBERTH PORTO DE REZENDE,WELBERTH REZENDE,APTO,PPS,Partido Popular Socialista,29,N,ELEITO POR QP,762,0.03805774278215223,3.805774278215223
2018,1,RIO DE JANEIRO,4,7,Deputado Estadual,190000629002,WELBERTH PORTO DE REZENDE,WELBERTH REZENDE,APTO,PPS,Partido Popular Socialista,27,N,ELEITO POR QP,762,0.03543307086614173,3.543307086614173
2018,1,RIO DE JANEIRO,23,7,Deputado Estadual,190000603263,WANDERSON GIMENES ALEXANDRE,ANDERSON ALEXANDRE,APTO,SOLIDARIEDADE,Solidariedade,143,N,ELEITO POR MÉDIA,1075,0.1330232558139535,13.30232558139535
2018,1,RIO DE JANEIRO,162,7,Deputado Estadual,190000603263,WANDERSON GIMENES ALEXANDRE,ANDERSON ALEXANDRE,APTO,SOLIDARIEDADE,Solidariedade,78,N,ELEITO POR MÉDIA,1075,0.07255813953488371,7.255813953488372
2018,1,RIO DE JANEIRO,188,7,Deputado Estadual,190000603263,WANDERSON GIMENES ALEXANDRE,ANDERSON ALEXANDRE,APTO,SOLIDARIEDADE,Solidariedade,51,N,ELEITO POR MÉDIA,1075,0.04744186046511628,4.744186046511628
2018,1,RIO DE JANEIRO,161,7,Deputado Estadual,190000603263,WANDERSON GIMENES ALEXANDRE,ANDERSON ALEXANDRE,APTO,SOLIDARIEDADE,Solidariedade,44,N,ELEITO POR MÉDIA,1075,0.04093023255813953,4.093023255813953
2018,1,RIO DE JANEIRO,179,7,Deputado Estadual,190000603263,WANDERSON GIMENES ALEXANDRE,ANDERSON ALEXANDRE,APTO,SOLIDARIEDADE,Solidariedade,34,N,ELEITO POR MÉDIA,1075,0.03162790697674418,3.1627906976744184
2018,1,RIO DE JANEIRO,211,7,Deputado Estadual,190000611205,WALDECK CARNEIRO DA SILVA,WALDECK CARNEIRO,APTO,PT,Partido dos Trabalhadores,250,N,ELEITO POR QP,4370,0.057208237986270026,5.720823798627003
2018,1,RIO DE JANEIRO,170,7,Deputado Estadual,190000611205,WALDECK CARNEIRO DA SILVA,WALDECK CARNEIRO,APTO,PT,Partido dos Trabalhadores,250,N,ELEITO POR QP,4370,0.057208237986270026,5.720823798627003
2018,1,RIO DE JANEIRO,16,7,Deputado Estadual,190000611205,WALDECK CARNEIRO DA SILVA,WALDECK CARNEIRO,APTO,PT,Partido dos Trabalhadores,250,N,ELEITO POR QP,4370,0.057208237986270026,5.720823798627003
